trace_file_name, mode_ID, NRA, NWA, NCRH, NCRM, NCWH, NCWM
bubble_sort_trace_001.trc, 0, 4430234, 70142, 4430234, 70142, 2244544, 1122144
bubble_sort_trace_001.trc, 1, 4433298, 67078, 4433298, 67078, 2146496, 1072992
bubble_sort_trace_001.trc, 2, 4445570, 54806, 4445570, 54806, 1753792, 876384
bubble_sort_trace_001.trc, 3, 4485612, 14764, 4485612, 14764, 472448, 235200
bubble_sort_trace_001.trc, 4, 4234320, 266056, 4234320, 266056, 2128448, 1063968
bubble_sort_trace_001.trc, 5, 4366972, 133404, 4366972, 133404, 2134464, 1066976
bubble_sort_trace_001.trc, 6, 4466461, 33915, 4466461, 33915, 2170560, 1085024
bubble_sort_trace_001.trc, 7, 4482268, 18108, 4482268, 18108, 2317824, 1158656
bubble_sort_trace_001.trc, 8, 4430234, 70142, 4430234, 70142, 2244544, 72006016
bubble_sort_trace_001.trc, 9, 4433298, 67078, 4433298, 67078, 2146496, 72006016
bubble_sort_trace_001.trc, 10, 4445570, 54806, 4445570, 54806, 1753792, 72006016
bubble_sort_trace_001.trc, 11, 4485612, 14764, 4485612, 14764, 472448, 72006016
bubble_sort_trace_001.trc, 12, 4234320, 266056, 4234320, 266056, 2128448, 18001504
bubble_sort_trace_001.trc, 13, 4366972, 133404, 4366972, 133404, 2134464, 36003008
bubble_sort_trace_001.trc, 14, 4466461, 33915, 4466461, 33915, 2170560, 144012032
bubble_sort_trace_001.trc, 15, 4482268, 18108, 4482268, 18108, 2317824, 288024064
